Title,Type,Episodes,Status,Start airing,End airing,Starting season,Broadcast time,Producers,Licensors,Studios,Sources,Genres,Duration,Rating,Score,Scored by,Members,Favorites
Fullmetal Alchemist: Brotherhood,TV,64,Finished Airing,2009-4-5,2010-7-4,Spring,Sundays at 17:00 (JST),"Aniplex,Square Enix,Mainichi Broadcasting System,Studio Moriken","Funimation,Aniplex of America",Bones,Manga,"Action,Military,Adventure,Comedy,Drama,Magic,Fantasy,Shounen",24 min. per ep.,R,9.25,719706,1176368,105387
Kimi no Na wa.,Movie,1,Finished Airing,2016-8-26,-,-,-,"Kadokawa Shoten,Toho,Sound Team Don Juan,Lawson HMV Entertainment,Amuse,East Japan Marketing & Communications","Funimation,NYAV Post",CoMix Wave Films,Original,"Supernatural,Drama,Romance,School",1 hr. 46 min.,PG-13,9.19,454969,705186,33936
Gintama°,TV,51,Finished Airing,2015-4-8,2016-3-30,Spring,Wednesdays at 18:00 (JST),"TV Tokyo,Aniplex,Dentsu","Funimation,Crunchyroll",Bandai Namco Pictures,Manga,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",24 min. per ep.,R,9.16,70279,194359,5597
Steins;Gate 0,TV,23,Currently Airing,2018-4-12,-,Spring,Thursdays at 01:35 (JST),Nitroplus,Funimation,White Fox,Visual novel,"Sci-Fi,Thriller",23 min. per ep.,PG-13,9.16,12609,186331,1117
Steins;Gate,TV,24,Finished Airing,2011-4-6,2011-9-14,Spring,Wednesdays at 02:05 (JST),"Frontier Works,Media Factory,Movic,AT-X,Kadokawa Pictures Japan,Nitroplus",Funimation,White Fox,Visual novel,"Sci-Fi,Thriller",24 min. per ep.,PG-13,9.14,552791,990419,90365
Ginga Eiyuu Densetsu,OVA,110,Finished Airing,1988-1-8,1997-3-17,-,-,Kitty Films,Sentai Filmworks,"Artland,Magic Bus",Novel,"Military,Sci-Fi,Space,Drama",26 min. per ep.,R,9.11,28452,121772,8370
Gintama',TV,51,Finished Airing,2011-4-4,2012-3-26,Spring,Mondays at 18:00 (JST),"TV Tokyo,Aniplex,Dentsu,Trinity Sound,Miracle Robo,Studio Jack,Shueisha",-,Sunrise,Manga,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen",24 min. per ep.,PG-13,9.11,90758,212238,4533
Hunter x Hunter (2011),TV,148,Finished Airing,2011-10-2,2014-9-24,Fall,Sundays at 10:55 (JST),"VAP,Nippon Television Network,Shueisha",Viz Media,Madhouse,Manga,"Action,Adventure,Super Power,Shounen",23 min. per ep.,PG-13,9.11,395162,705225,63324
3-gatsu no Lion 2nd Season,TV,22,Finished Airing,2017-10-14,2018-3-31,Fall,Saturdays at 23:00 (JST),"Aniplex,Dentsu,NHK,Hakusensha,Asmik Ace Entertainment,Toy's Factory",Aniplex of America,Shaft,Manga,"Drama,Game,Seinen,Slice of Life",25 min. per ep.,PG-13,9.1,26284,80166,1961
Gintama': Enchousen,TV,13,Finished Airing,2012-10-4,2013-3-28,Fall,Thursdays at 18:00 (JST),"TV Tokyo,Aniplex,Dentsu,Shueisha,Miracle Bus",-,Sunrise,Manga,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",24 min. per ep.,PG-13,9.07,62582,121612,1498
Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Movie,1,Finished Airing,2013-7-6,-,-,-,"TV Tokyo,Aniplex,Dentsu,Bandai,Warner Bros.,Shueisha",-,Sunrise,Manga,"Action,Sci-Fi,Comedy,Historical,Parody,Samurai,Shounen",1 hr. 50 min.,PG-13,9.04,60295,104021,1374
Koe no Katachi,Movie,1,Finished Airing,2016-9-17,-,-,-,"Shochiku,Pony Canyon,Kodansha,ABC Animation,Quaras",NYAV Post,Kyoto Animation,Manga,"Drama,School,Shounen",2 hr. 10 min.,PG-13,9.04,283214,491799,18911
Owarimonogatari 2nd Season,TV,7,Finished Airing,2017-8-12,2017-8-13,Summer,Not scheduled once per week,"Aniplex,Kodansha",Aniplex of America,Shaft,Light novel,"Mystery,Comedy,Supernatural,Vampire",22 min. per ep.,R,9.03,40936,109651,2372
Gintama.,TV,12,Finished Airing,2017-1-9,2017-3-27,Winter,Mondays at 01:35 (JST),"TV Tokyo,Aniplex,Dentsu,Shueisha",-,Bandai Namco Pictures,Manga,"Action,Comedy,Historical,Parody,Samurai,Sci-Fi,Shounen",24 min. per ep.,PG-13,9.02,39493,89409,1222
Clannad: After Story,TV,24,Finished Airing,2008-10-3,2009-3-27,Fall,Fridays at 01:59 (JST),"Pony Canyon,TBS,Rakuonsha,Animation Do",Sentai Filmworks,Kyoto Animation,Visual novel,"Slice of Life,Comedy,Supernatural,Drama,Romance",24 min. per ep.,PG-13,9.01,359297,599866,47076
